City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,boyolangu,-8.1181,111.8935,22.59,95,82,2.48,ID,1690295845
332,esmeraldas,-19.7625,-44.3139,25.17,30,0,3.28,BR,1690295845
333,chinde,26.8418,88.0763,20.25,86,94,1.2,NP,1690295845
334,cartagena,10.3997,-75.5144,29.79,74,0,1.03,CO,1690295700
335,dickinson,29.4608,-95.0513,32.83,78,40,2.06,US,1690295846
336,puerto armuelles,8.2833,-82.8667,27.83,70,100,1.34,PA,1690295847
337,nema,57.5067,50.5011,18.84,89,52,2.41,RU,1690295847
338,lobujya,27.95,86.8167,4.56,99,99,2.57,NP,1690295848
339,conceicao do araguaia,-8.2578,-49.2647,33.87,23,3,4.51,BR,1690295685
340,al jawf,29.5,38.75,38.7,10,0,4.19,SA,1690295848
341,cururupu,-1.8283,-44.8683,31.45,51,50,2.65,BR,1690295849
342,skvyra,49.7318,29.6657,27.23,44,71,3.82,UA,1690295849
343,tolanaro,-25.0319,46.9987,20.04,88,40,6.17,MG,1690295850
344,uturoa,-16.7333,-151.4333,26.54,84,19,6.41,PF,1690295850
345,tuzha,57.6062,47.936,19.98,74,69,2.26,RU,1690295850
346,meadow lake,34.8014,-106.5436,29.72,30,9,4.05,US,1690295851
347,tsetserleg,47.475,101.4542,9.67,87,21,2.06,MN,1690295851
348,tateyama,34.9833,139.8667,25.58,91,21,3.85,JP,1690295852
349,carnarvon,-24.8667,113.6333,18.3,72,100,9.68,AU,1690295689
350,kingscliff,-28.2667,153.5667,14.89,77,100,3.09,AU,1690295852
351,kitimat,54.0524,-128.6534,14.39,61,100,4.02,CA,1690295852
352,lusaka,-15.4067,28.2871,25.14,21,0,6.69,ZM,1690295853
353,sake,-1.5736,29.045,22.36,58,95,0.49,CD,1690295853
354,lorengau,-2.0226,147.2712,25.73,90,100,6.36,PG,1690295853
355,nioki,-2.7167,17.6833,35.16,31,96,0.69,CD,1690295853
356,mount isa,-20.7333,139.5,14.87,63,2,3.09,AU,1690295854
